sasdate,^GSPC,^HSCE,^HSI,^KS200,^N225,^STOXX50E
1998-09-17,1018.869995,1554.72998,7576.569824,35.34999847,13859.13965,0
1998-09-18,1020.090027,1534.22998,7445.959961,34.24000168,13983.12012,0
1998-09-21,1023.890015,1466.359985,7170.22998,33.72999954,13597.2998,0
1998-09-22,1029.630005,1526.069946,7373.509766,33.16999817,13789.80957,0
1998-09-23,1066.089966,1588.469971,7504.390137,33.25999832,13789.80957,0
1998-09-24,1042.719971,1723.390015,7834.609863,35.61000061,14205.78027,0
1998-09-25,1044.75,1733.680054,7701.609863,34.70999908,13723.83984,0
1998-09-28,1048.689941,1684.089966,7946.040039,34.97999954,13909.37012,0
1998-09-29,1049.02002,1626.469971,7837.609863,35.79999924,13821.42969,0
1998-09-30,1017.01001,1611.219971,7883.459961,35.45000076,13406.38965,0
1998-10-01,986.3900146,1611.219971,7883.459961,34.81999969,13197.12012,0
1998-10-02,1002.599976,1611.219971,7883.459961,35.08000183,13223.69043,0
1998-10-05,988.5599976,1528.109985,7564.540039,35.08000183,12948.12012,0
1998-10-06,984.5900269,1528.109985,7564.540039,35.08000183,13021.63965,0
1998-10-07,970.6799927,1551.390015,7744.720215,35.75999832,13825.61035,0
1998-10-08,959.4400024,1603.02002,7939.509766,34.54000092,13026.05957,0
1998-10-09,984.3900146,1699.680054,8506.790039,37.52000046,12879.96973,0
1998-10-12,997.710022,1793.689941,8990.269531,40.56000137,13555.00977,0
1998-10-13,994.7999878,1769.849976,9008.830078,39.81000137,13242.79004,0
1998-10-14,1005.530029,1741.280029,8840.009766,39.79000092,13070.73047,0
1998-10-15,1047.48999,1707.449951,8970.419922,42.68000031,12995.37012,0
1998-10-16,1056.420044,1785.959961,9777.009766,43.47000122,13280.54004,0
1998-10-19,1062.390015,1908.23999,9599.049805,43.54000092,13567.2002,0
1998-10-20,1063.930054,1875.800049,9642.75,45.5,13808.0498,0
1998-10-21,1069.920044,1856.650024,9662.120117,44.27000046,14216.33008,0
1998-10-22,1078.47998,1797.810059,9658.580078,44.45000076,14295.55957,0
1998-10-23,1070.670044,1786.73999,9817.75,44.02999878,14144.7002,0
1998-10-26,1072.319946,1785.219971,9778.910156,43.38999939,13843.45996,0
1998-10-27,1065.339966,1811.410034,9927.049805,41.75999832,13820.67969,0
1998-10-28,1068.089966,1811.410034,9927.049805,42.29999924,13516.07031,0
1998-10-29,1085.930054,1820.660034,9931.459961,43.18000031,13668.71973,0
1998-10-30,1098.670044,1829.380005,10154.94043,45.06999969,13564.50977,0
1998-11-02,1111.599976,1905.550049,10170.08008,47.70000076,13952.75,0
1998-11-03,1110.839966,2105.040039,10358.51953,48.09000015,13952.75,0
1998-11-04,1118.670044,2128.959961,10508.25,48.81999969,14527.80957,0
1998-11-05,1133.849976,2077.639893,10221.98047,49.25,14341.37012,0
1998-11-06,1141.01001,2094.870117,10139.75,48.86000061,14121.96973,0
1998-11-09,1130.199951,2057.699951,9851.929688,49.74000168,14194.54004,0
1998-11-10,1128.26001,2048.459961,9721.330078,47.02000046,14108.08984,0
1998-11-11,1120.969971,2080.280029,10137.32031,46.68999863,14428.01953,0
1998-11-12,1117.689941,2065.560059,9948.179688,47.02999878,14075.05957,0
1998-11-13,1125.719971,2043.069946,9997.990234,47.16999817,14268.20996,0
1998-11-16,1135.869995,2049.800049,10298.08984,49.36999893,14428.26953,0
1998-11-17,1139.319946,2059.570068,10148.69043,49.63000107,14413,0
1998-11-18,1144.47998,2070.340088,10213.41992,49.27000046,14599.23047,0
1998-11-19,1152.609985,2059.879883,10313.2998,51.47000122,14354.45996,0
1998-11-20,1163.550049,2050.110107,10233.36035,53.18999863,14779.94043,0
1998-11-23,1188.209961,2028.869995,10514.53027,52.97999954,14779.94043,0
1998-11-24,1182.98999,2055.27002,10851.70996,53.72999954,15164.63965,0
1998-11-25,1186.869995,2024.75,10720.99023,53.91999817,15073.46973,0
1998-11-26,1186.869995,1969.599976,10778.91992,51.65999985,15207.76953,0
1998-11-27,1192.329956,1945.280029,10742.11035,51.68999863,15069.38965,0
1998-11-30,1163.630005,1876.319946,10402.32031,51.93000031,14883.7002,0
1998-12-01,1175.280029,1767.199951,9975.849609,51.15999985,14835.41016,0
1998-12-02,1171.25,1790.73999,10055.78027,51.22000122,14986.62012,0
1998-12-03,1150.140015,1806.890015,10046.15039,51.47999954,14697.08008,0
1998-12-04,1176.73999,1783.01001,9963.139648,53.79999924,14639.96973,0
1998-12-07,1187.699951,1846.099976,10428.82031,59.43000031,14723.49023,0
1998-12-08,1181.380005,1812.01001,10351.08008,58.68999863,14808.2002,0
1998-12-09,1183.48999,1851.829956,10361.29004,60.72000122,14931.90039,0
1998-12-10,1165.02002,1843.369995,10315.44043,65.66999817,14807.7998,0
1998-12-11,1166.459961,1794.25,9952,63.49000168,14405.63965,0
1998-12-14,1141.199951,1738.319946,9825.209961,63.13000107,14111.62012,0
1998-12-15,1162.829956,1709.670044,9952.839844,64.63999939,14011.19043,0
1998-12-16,1161.939941,1684.439941,9939.389648,61.36999893,14096.2998,0
1998-12-17,1179.97998,1684.050049,10083.30957,59.97999954,14126.99023,0
1998-12-18,1188.030029,1706.540039,10226.23047,59.68999863,14194.29004,0
1998-12-21,1202.839966,1720.560059,10396.00977,64.29000092,14152.9502,0
1998-12-22,1203.569946,1693.420044,10322.55957,62.79999924,13779.4502,0
1998-12-23,1228.540039,1676.790039,10158.75,63.70999908,13779.4502,0
1998-12-24,1226.27002,1676.790039,10292.2002,63.79999924,13706.73047,0
1998-12-25,1226.27002,1676.790039,10292.2002,63.79999924,13797.9502,0
1998-12-28,1225.48999,1702.890015,10170.13965,64.94000244,13709.05957,0
1998-12-29,1241.810059,1712.180054,10225.96973,64.94000244,13846.90039,0
1998-12-30,1231.930054,1724.469971,10121.44043,64.94000244,13842.16992,0
1998-12-31,1229.22998,1724.469971,10048.58008,64.94000244,13842.16992,0
1999-01-04,1228.099976,1684.390015,9809.169922,64.94000244,13415.88965,0
1999-01-05,1244.780029,1663.030029,9891.05957,69.09999847,13232.74023,0
1999-01-06,1272.339966,1740.060059,10233.7998,70.47000122,13468.45996,0
1999-01-07,1269.72998,1763.599976,10693.57031,73.83000183,13536.55957,0
1999-01-08,1275.089966,1738.670044,10722.7002,72.22000122,13391.80957,0
1999-01-11,1263.880005,1676.140015,10634.26953,73.51999664,13368.48047,0
1999-01-12,1239.51001,1606.400024,10711.55957,72.19000244,13360.96973,0
1999-01-13,1234.400024,1422.030029,10273.76953,72.16999817,13403.59961,0
1999-01-14,1212.189941,1411.560059,10183.12988,69.25,13738.86035,0
1999-01-15,1243.26001,1488.939941,10147.40039,70.08999634,13738.86035,0
1999-01-18,1243.26001,1486.030029,10402.54004,70.63999939,13805.05957,0
1999-01-19,1252,1446.390015,10290.11035,70.52999878,13770.44043,0
1999-01-20,1256.619995,1371.660034,10314.91016,70.34999847,14028.0498,0
1999-01-21,1235.160034,1334.530029,10048.57031,66.77999878,14245.41992,0
1999-01-22,1225.189941,1267.959961,9738.519531,62.79000092,14154.40039,0
1999-01-25,1233.97998,1275.040039,9499.5,61.70999908,14208.80957,0
1999-01-26,1252.310059,1318.290039,9509.830078,60.97999954,14382.00977,0
1999-01-27,1243.170044,1415.040039,9719.660156,65.26000214,14450.05957,0
1999-01-28,1265.369995,1397.709961,9360.959961,65.86000061,14342.32031,0
1999-01-29,1279.640015,1388.199951,9506.900391,65.72000122,14499.25,0
1999-02-01,1273,1351.329956,9599.549805,66.63999939,14465.17969,0
1999-02-02,1261.98999,1322.589966,9502.719727,64.73000336,14349.83008,0
1999-02-03,1272.069946,1303.47998,9419.849609,63.20999908,14161.30957,0
1999-02-04,1248.48999,1299.569946,9438.650391,62.77999878,14086.84961,0
1999-02-05,1239.400024,1281.51001,9190.200195,62.81999969,13898.08008,0
1999-02-08,1243.77002,1275.650024,9139.599609,62.11000061,13992.49023,0
1999-02-09,1216.140015,1333.619995,9244.490234,59.61000061,13902.66016,0
1999-02-10,1223.550049,1309.079956,9076.330078,59.81999969,13952.40039,0
1999-02-11,1254.040039,1315.98999,9146.799805,59.50999832,13952.40039,0
1999-02-12,1230.130005,1349.98999,9425.419922,63.31999969,13973.69043,0
1999-02-15,1230.130005,1349.98999,9402.389648,63.31999969,14054.71973,0
1999-02-16,1241.869995,1349.98999,9402.389648,63.31999969,14232.63965,0
1999-02-17,1224.030029,1349.98999,9402.389648,63.31999969,14158.66992,0
1999-02-18,1237.280029,1349.98999,9402.389648,61.15999985,14146.79004,0
1999-02-19,1239.219971,1306.47998,9254.120117,59.56000137,14098.04004,0
1999-02-22,1272.140015,1275.780029,9229.339844,58.20000076,14256.66992,0
1999-02-23,1271.180054,1279.599976,9433.990234,57.77999878,14500.65039,0
1999-02-24,1253.410034,1290.410034,9677.570313,57.52000046,14355.4502,0
1999-02-25,1245.02002,1279.599976,9658.070313,57.75,14470.4502,0
1999-02-26,1238.329956,1342.430054,9858.490234,60.27999878,14367.54004,0
1999-03-01,1236.160034,1390.680054,10020.45996,60.27999878,14221.75,0
1999-03-02,1225.5,1347.209961,9913.580078,61.93000031,13921.05957,0
1999-03-03,1227.699951,1405.439941,9922.400391,62.20999908,14170.36035,0
1999-03-04,1246.640015,1402.829956,9912.759766,61.50999832,14183.4502,0
1999-03-05,1275.469971,1393.02002,10241.12012,62.13999939,14894,0
1999-03-08,1282.72998,1411.089966,10263.99023,66.16999817,14779.0498,0
1999-03-09,1279.839966,1401.839966,10532.9502,66.45999908,15096.7002,0
1999-03-10,1286.839966,1393.280029,10749.00977,66.06999969,15480,0
1999-03-11,1297.680054,1390.589966,10662.80957,67.23000336,15502.13965,0
1999-03-12,1294.589966,1382.170044,10801.75977,68.12999725,15488.86035,0
1999-03-15,1307.26001,1387.810059,10836.86035,68.16000366,15779.59961,0
1999-03-16,1306.380005,1399.140015,10911.25,69.5,16072.82031,0
1999-03-17,1297.819946,1491.77002,10940.07031,69.5,16268.11035,0
1999-03-18,1316.550049,1546.310059,10659.32031,67.05000305,15717.91992,0
1999-03-19,1299.290039,1558.939941,11082.91992,70.25,16378.78027,0
1999-03-22,1297.01001,1643.75,11107.24023,70.73999786,16378.78027,0
1999-03-23,1262.140015,1682.310059,11041.00977,71.48000336,16019.09961,0
1999-03-24,1268.589966,1643.27002,10711.33984,71.01000214,15515.46973,0
1999-03-25,1289.98999,1620.650024,10826.12988,70.91999817,15986.04004,0
1999-03-26,1282.800049,1585.819946,10803.30957,70.77999878,16016.99023,0
1999-03-29,1310.170044,1524.640015,10688.46973,69.73999786,16008.83984,0
1999-03-30,1300.75,1522.939941,10940.20996,71.80000305,15859.12012,0
1999-03-31,1286.369995,1532.02002,10942.2002,71.83999634,15836.58984,0
1999-04-01,1293.719971,1564.069946,11072.98047,74.09999847,16327.55957,0
1999-04-02,1293.719971,1564.069946,11072.98047,75.37999725,16290.19043,0
1999-04-05,1321.119995,1564.069946,11072.98047,75.37999725,16334.78027,0
1999-04-06,1317.890015,1564.069946,11072.98047,77.81999969,16479.71094,0
1999-04-07,1326.890015,1645.439941,11614.87012,78.51000214,16554.5,0
1999-04-08,1343.97998,1671.060059,11727.83984,79.44000244,16846.68945,0
1999-04-09,1348.349976,1753.959961,11914.09961,80.16000366,16855.63086,0
1999-04-12,1358.630005,1769.589966,11744.74023,80.20999908,16507.40039,0
1999-04-13,1349.819946,1734.630005,11899.69043,80.22000122,16715.16016,0
1999-04-14,1328.439941,1664.069946,11834.12988,79.87999725,16764.67969,0
1999-04-15,1322.849976,1692.040039,11962.23047,84.01999664,16727.08008,0
1999-04-16,1319,1757.650024,12490.2998,84.55000305,16851.58008,0
1999-04-19,1289.47998,1839.5,12766.44043,90.19000244,16674.21094,0
1999-04-20,1306.170044,1905.420044,12409.78027,90.44999695,16697.10938,0
